Quarter ended,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,,,,,,,,,,,,,,,,,,,,Survey Round,Current Perception,,,,One year ahead Expectation,,,
,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,,,,,,,,,,,,,,,,,,,,Improved,Remained Same,Worsened,Net Response,Will Improve,Will Remain Same,Will Worsen,Net Response
Mar 2024,"48,13,540.6","9,19,906.5","1,29,218.2","7,90,688.3","36,23,295.7","3,08,023.2","33,15,272.4","2,16,128.9","12,446.80","4,182.70","2,559.90","1,622.90","8,016.90",732.5,"7,284.40",155.9,,,,,,,,,"17,33,414.0","3,42,013.6","57,348.90","2,84,664.7","13,09,286.5","1,39,378.0","11,69,908.5","62,719.10","30,67,664.0","5,73,709.5","69,308.70","5,04,400.7","23,05,981.0","1,67,912.7","21,38,068.3","1,53,253.9",15.7,0.7,0.7,0,11.3,0,11.3,0,-1.01,-7.65,10.64,9.77,9.4,9.13,12.85,12.64,316.33,294.18,351.15,355.67,338.41,416.89,326.26,299.14,170.57,182,338.88,Sep-21,15.4,13,71.6,-56.2,42.3,18.1,39.6,2.7
Jun 2024,"48,15,998.8","8,97,835.2","1,33,713.7","7,64,121.5","36,37,465.0","3,02,790.9","33,34,674.1","2,26,722.5","13,241.40","4,140.70","2,390.90","1,749.70","8,811.40",772.3,"8,039.20",195.9,,,,,,,,,"18,52,303.7","3,76,749.5","60,849.00","3,15,900.4","13,89,944.9","1,38,722.6","12,51,222.3","64,845.40","29,50,437.6","5,16,944.8","70,473.40","4,46,471.4","22,38,694.4","1,63,296.0","20,75,398.4","1,61,681.2",16.2,0.3,0.3,0,14.3,0,14.3,0,21.85,24.04,5.11,4.33,13.11,12.12,10.51,10.26,322.18,307.27,352.2,364.82,337.68,418.76,334.83,300.62,175.79,184.86,345.48,Nov-21,17.4,12.6,70.1,-52.7,44.6,17.3,38.1,6.4
Sep 2024,"51,83,586.9","9,58,316.6","1,45,849.2","8,12,467.3","39,09,548.2","3,06,765.1","36,02,783.1","2,62,373.6","12,844.20","4,133.50","2,397.50","1,736.10","8,401.50",753.7,"7,647.80",226.8,,,,,,,,,"18,63,487.6","3,78,642.9","66,520.00","3,12,122.9","13,93,562.4","1,18,773.5","12,74,789.0","70,697.60","33,07,244.1","5,75,539.2","76,930.90","4,98,608.4","25,07,574.9","1,87,238.0","23,20,336.9","1,91,449.2",11.1,0.9,0.9,0,9.5,0,9.5,0,15.43,-18.55,3.37,1.85,12.67,12.16,2.32,2.2,322,303.62,350.4,360.11,342.45,418.99,342.63,312.13,174.33,181.2,335.65,Jan-22,17.8,15.6,66.7,-48.9,40.8,16.7,42.5,-1.7
Dec 2024,"56,03,195.0","10,10,871.3","1,56,575.5","8,54,295.8","42,43,835.5","3,09,260.2","39,34,575.3","2,99,843.8","12,830.10","4,158.80","2,423.30","1,735.50","8,327.90",722.9,"7,605.00",252.8,,,,,,,,,"22,05,746.2","4,16,979.7","76,495.80","3,40,483.8","16,88,762.9","1,31,018.3","15,57,744.6","81,146.90","33,84,503.5","5,89,732.6","77,656.10","5,12,076.5","25,46,732.0","1,77,518.6","23,69,213.5","2,18,444.2",115.3,0.3,0.3,0,12.7,0.5,12.2,0,41.55,48.16,22.92,23.92,17.56,16.88,4.42,6.17,323.26,304.4,346.2,362.44,351.16,420.94,345.06,315.24,177.43,180.02,337.84,Mar-22,21.7,16.2,62.2,-40.5,49.2,15.2,35.7,13.5
Mar 2025,"55,40,203.2","10,30,651.0","1,52,732.9","8,77,918.0","41,95,105.8","3,04,150.9","38,90,954.9","2,85,233.3","11,922.90","3,976.10","2,222.60","1,753.50","7,653.80",681.8,"6,972.00",239.7,,,,,,,,,"20,30,273.3","4,06,507.8","71,445.30","3,35,062.5","15,35,362.5","1,21,688.5","14,13,674.0","74,757.60","34,97,616.0","6,20,166.9","79,064.70","5,41,102.1","26,52,076.4","1,81,780.6","24,70,295.9","2,10,236.1",391,0.2,0.2,0,13.1,0,13.1,0,15.6,16.11,13.04,11.99,14.39,14.56,9.29,8.93,326.23,301.12,348.1,375.51,351.44,417.8,355.05,320.75,183.63,179.07,331.14,May-22,22.5,14.9,62.7,-40.2,45.4,15.3,39.4,6
Jun 2025,"55,82,448.9","10,78,008.5","1,52,544.8","9,25,463.6","41,99,555.1","2,97,527.6","39,02,027.4","2,75,602.0","10,877.10","3,692.00","1,996.30","1,695.70","7,001.40",538.6,"6,462.80",140.8,,,,,,,,,"20,49,745.0","4,13,183.4","72,942.90","3,40,240.5","15,50,128.3","1,16,878.6","14,33,249.7","72,978.70","35,21,254.0","6,61,132.7","77,605.30","5,83,527.4","26,42,416.8","1,80,110.4","24,62,306.3","2,02,482.5",572.9,0.4,0.4,0,8.7,0,8.7,0,-0.66,1.04,19.22,16.42,7.11,8.02,8.62,6.17,,,,,,,,,,,,Jul-22,21.6,15.4,63,-41.5,46.4,14.9,38.8,7.6
Sep 2025,"60,28,223.7","12,26,276.9","1,62,258.4","10,64,018.5","45,06,453.0","3,05,358.8","42,01,094.2","2,62,473.6","10,960.70","3,712.80","2,116.60","1,596.10","7,088.30",738.3,"6,350.00",119.5,,,,,,,,,"21,56,775.3","4,18,990.7","75,421.60","3,43,569.0","16,50,318.2","1,15,236.1","15,35,082.2","74,317.70","38,59,392.6","8,03,572.8","84,719.50","7,18,853.3","28,49,032.7","1,89,384.4","26,59,648.3","1,88,036.4","1,095.10",0.7,0.7,0,13.8,0,13.8,0,16.02,24.28,11.4,8.73,10.21,10.09,12.65,12.96,,,,,,,,,,,,Sep-22,26.2,14.6,59.2,-33,46.5,15.4,38.1,8.4
Dec 2025,"60,88,914.1","13,08,573.1","1,68,570.3","11,40,002.8","44,63,050.8","3,17,269.9","41,45,780.9","2,79,503.1","11,754.90","3,896.80","2,168.50","1,728.20","7,663.00",804.7,"6,858.30",126.2,,,,,,,,,"24,24,733.5","4,81,020.2","83,390.80","3,97,629.4","18,40,911.8","1,23,244.4","17,17,667.4","87,449.20","36,50,618.3","8,23,655.6","83,010.40","7,40,645.2","26,14,439.2","1,93,220.8","24,21,218.4","1,91,927.7","1,807.40",0.6,0.6,0,36.8,0,36.8,0,2.23,4.13,13,9.07,17.45,17.96,20.89,20.99,,,,,,,,,,,,Nov-22,28,16.3,55.7,-27.8,48,15.6,36.4,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-23,28.3,19.6,52.1,-23.7,50.2,16.6,33.2,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-23,31.4,16.9,51.7,-20.4,49.9,15.1,35,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May-23,32.1,19,48.9,-16.8,51,15.8,33.2,17.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jul-23,30.4,18.5,51.1,-20.7,51.1,15.1,33.8,17.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep-23,36.1,19.9,44,-7.9,56.8,15.1,28.1,28.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov-23,33.1,22.5,44.4,-11.3,54.3,17.2,28.5,25.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-24,37.5,22.3,40.2,-2.7,59.2,15.3,25.5,33.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-24,41.2,23.1,35.8,5.4,60.7,15.8,23.4,37.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May-24,40,22.6,37.4,2.6,59,15.6,25.4,33.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jul-24,36.3,22.4,41.3,-5,55,16,29,26.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep-24,37.3,21.1,41.6,-4.4,55.5,16,28.6,26.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov-24,35.8,21.3,42.9,-7.1,54.9,17.2,27.9,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-25,34.9,22.1,43,-8,55.2,15.8,29,26.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-25,34.7,24.7,40.6,-5.9,56.6,14.9,28.5,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May-25,35.7,22.4,41.9,-6.2,57.9,13.4,28.7,29.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jul-25,34.2,27.5,38.3,-4.2,55.7,20.9,23.4,32.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep-25,37,22.1,40.9,-3.9,57.9,16.8,25.3,32.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov-25,37.2,23.1,39.7,-2.5,58.5,15.8,25.7,32.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-26,36.8,23,40.2,-3.5,56.6,16.2,27.2,29.3
